,NP_057427,NP_002408,NP_000415,NP_000413,NP_000517,NP_004439,NP_005219,NP_058519,NP_058518,NP_001116539,NP_061155,NP_001035932,NP_077006,NP_000917,NP_065178,NP_006836,NP_006614,NP_001784,NP_006092,NP_001153651,NP_001159403,NP_000116,NP_004314,NP_060601,NP_005931,NP_003003,NP_113611,NP_002002,NP_004487,NP_008950,NP_114172,NP_001062,NP_001444,NP_057547,NP_054895,NP_001246,NP_055606,NP_036451,NP_000624,NP_569082,NP_001159,NP_001229,NP_002458
TCGA-A2-A0CM,1.946004384400313,1.7759928811122565,2.505957426216228,1.0046126452336863,2.7096560548165556,-0.8732834376773001,0.6777737915584235,-1.0006927797946574,-0.997325151796089,-1.037866294303812,1.4280427602277301,-1.5787020347249479,-1.5724390289089285,-1.2085883097911738,1.6714467052475783,1.8460165374215043,-0.4289460213675268,0.9873245579234309,1.368221161453546,-1.1840754435694603,0.8689418526981637,-1.1974160356637955,-0.15341135914286136,2.17745438737604,-0.418304924674111,0.22585928117220608,0.6315644317926145,0.4248861644230608,-1.8148701244234164,1.537488513545927,1.647960041392675,0.5242972360898559,0.8790078366779349,-0.37357843319314615,2.319474357137978,1.899310826958245,-0.01112818920061233,-0.768922998594686,-0.12420264433741426,-0.004145923002255623,1.8392332348089744,1.094617872270532,0.07507943757934904
TCGA-A2-A0D2,2.0172866742155144,2.295123314720817,1.61319557897032,1.7840905868422259,0.9218176601634386,-1.1816182853120891,0.2531797242869788,-0.8143604686516578,-0.8048537535382763,-0.7813387498208011,1.7586118809502176,-2.277229703484202,-2.2690344428344322,-0.8812891567260395,0.8750732332734866,2.6409958547851993,1.273603653859493,1.36565850102373,2.3530134127827766,-1.366587464147263,-0.1537557956610307,-0.926297338468639,-1.346058300734117,0.018769018601312866,1.556204069422579,2.2701058790979642,1.8097288015416084,1.3618588396057016,-2.6806885661543784,1.4485087853029686,1.675773953423647,3.692624065470794,1.6633535748210346,-1.629276258231749,1.6809752795359252,1.671303190944944,0.279431910986482,-0.5435681925900213,-2.198073237241714,-2.469882862444987,2.493526765805783,0.10111249189063216,0.7195283268135048
TCGA-A2-A0EQ,0.20971413188717813,1.3743216843320696,-1.6772134910681074,-1.7782389644083851,-1.4118402062197428,-0.3736466089394475,4.052962583846222,-1.8082046811086683,-1.7166605403675081,-1.8670078426634849,-0.14967688586949482,-0.3122014508050186,-0.30944181641532226,-1.352800313744013,1.733067493053526,0.8212878572083647,1.0187140684697218,-0.09123677139518285,0.28858703104781863,-0.34759089120938735,-0.14115792183797232,-1.6721470199968513,-0.30582087092358634,0.4626424527009903,-1.2704032408311554,-1.538994167810023,0.06513361314684883,1.2132239415890136,0.30648792777804335,0.5093570286526853,-0.06922364218707368,0.8249290739499018,-0.18268729691703256,-0.43487908195563607,0.5857138130908934,-0.39255875184243194,-0.01112818920061233,0.023706347866440547,1.5675167568972146,-0.004145923002255623,0.6808530702975972,0.7347198180619221,0.07507943757934904
TCGA-A2-A0EV,-0.8599043985054157,-0.8741952944212635,-0.42093874075853094,-0.5087885077304003,-0.2166092204463855,-0.5141681923855452,0.0859250775897856,-0.005172471223740441,-0.17501605494029832,0.013515024311656389,-2.047795733184266,-0.9328732013820512,-0.928396675817013,0.1963281662714705,0.8302939375328365,-1.3784753926460978,-0.2434414084183061,-0.5478902346857506,-0.6083203564929244,0.5347830616293786,-0.9153282031922021,0.735741982590597,-0.18627690583731826,-3.1808864647443738,0.49094282194322486,0.4656374532304006,-0.394550243432147,-0.7117876249218911,-0.5361596402570667,-0.8886241544626541,-1.803942825683799,0.12046726819100513,0.37894830472907326,0.312314673844179,-0.8048265462286045,-1.950111800254696,-0.01112818920061233,0.023706347866440547,1.6380741484269465,-0.004145923002255623,-0.03691916407653403,-2.651021001341338,-2.6985527034558157
TCGA-A2-A0EX,-1.7690952419307349,-1.2586237729292677,0.5916778659435423,0.01567503728099041,0.6606795562587702,-0.019177439367090977,0.2505051320865264,1.655673037344262,1.6171104978465365,1.5758636856691026,-0.9859360615152764,0.44600968679521086,0.44157290943471733,0.9498324764434469,1.4675443817960105,-1.206504606596584,-0.796784421233645,-0.3900551564828721,-1.0909889488595057,-0.09258369495105201,-0.9503418635611293,-0.32259609299773645,0.1767294249867754,-0.14197871256140335,0.430320157129546,0.45082200479629414,-0.9755599710794475,-0.24343156595213883,0.14369260614837912,-1.6954739383536088,-1.8074282816843446,-1.4308904075432058,-0.18268729691703256,-0.12741582783044655,-1.6375202477959399,-1.39000351862141,-1.4385379257296929,0.17044091786456614,0.4041959735820899,-1.619904214133502,-1.911025765643373,1.093082920146879,0.8516240165720036
TCGA-A2-A0EY,-0.5818625799060199,-0.108850977683722,-0.18356236442752744,-0.42720281859487436,-0.3368394029422914,2.271955691068544,-0.8213384793318845,-1.1185247832157872,-1.0884931821766872,-1.0987858980400027,-0.2827129112264542,1.9660009217197505,1.9624586331600062,-1.3799328536937525,1.480625017836962,-0.33404909348570366,-0.7093437665071671,-0.10284101300868617,-0.5495630032906145,-0.860668591086507,-1.0355545398133046,-0.8330710399408305,0.20261633955967048,-0.5587534074248414,-1.582136752393001,0.27531567997828477,-0.8963418585678299,1.1088658289493094,0.11001127097157776,-0.47078326311351,-1.1539519103433804,-0.3421335691674941,-0.9940534511477905,0.14385527137415255,-0.6539707544357594,0.0012114570758848307,0.14760394073787625,0.023706347866440547,-0.12420264433741426,0.04559286198994934,-0.6453658344155249,0.10111249189063216,0.07507943757934904
TCGA-A2-A0SW,0.46024037806148216,0.37011798375781857,-1.1750273602143184,-0.4178537160727672,-0.0729715555622408,-0.8392604751611834,-0.7308056442753786,0.018713400155393984,0.05907553029777073,0.17286974400129215,0.22634818856070224,0.5358588660923447,0.49693370227382033,0.03616049598177245,0.6821783881046122,1.0064572166275434,0.8015451109266585,-0.44474467599886236,0.6117490589076006,-0.18688822981508765,0.15918613536662896,-0.10620360236421349,0.100015345952155,0.7468778123427336,-1.0040508498806098,-0.06932638215495202,-0.6115334514122878,0.5407221821224931,0.377297924503246,1.4477368095410394,0.6129313136851979,0.3229098882364675,-0.29751699649951824,0.10794199862880387,0.4127785724338877,-0.07805576101358573,-0.01112818920061233,-0.12638329553221445,0.18148388116658423,-0.004145923002255623,0.353927078146968,0.10111249189063216,0.07507943757934904
TCGA-A2-A0T3,1.0698921749087928,0.10282876996866527,0.7454921991997774,0.8929169320233392,0.7508015256964111,-0.724954289492663,-0.6082250829367856,1.1294160687801018,0.9944506107802833,1.0547728826221687,0.7205560788969769,-0.5301279472088922,-0.5267654884145067,1.05153852916999,0.0932582042376685,1.0146923133501078,-0.9261568068742966,-0.023956570593902084,0.7712972869841133,-0.34774271135008283,-0.22361630930283424,0.2704138368688459,0.329824838413783,0.16802699013465983,1.6315797329401627,0.32493917945110695,-0.8627517141672836,0.17004776784294856,-0.09666013227597063,-0.4633983727453401,1.7368910740400012,-1.130777861690109,-0.18268729691703256,1.0955596395059983,0.5189170067275206,0.6786331192059394,-0.41032966308015245,-0.6125503575343104,-0.1445262893221088,-0.004145923002255623,1.4383190564032662,0.10111249189063216,0.07507943757934904
TCGA-A2-A0T6,-2.070487186092557,-1.5209076022103147,-0.08797596614511552,-0.27693790874969126,-0.23496468508889828,-0.9918916179944017,-0.3586468855075996,0.3776967576782774,0.37426424868312635,0.41442330969126423,-1.4905806436091125,1.4577603379463713,1.4556239354647673,0.15452041840078803,-0.8671519165606701,-1.7704872565065024,-0.7883070177169822,0.3662641431681436,-1.9707798472142517,1.3866770707271463,-2.6460952800316098,-0.40001825629622595,0.6779503404554431,-0.6407757379876529,0.5039854935697353,1.476086170728019,-0.49591684688816495,0.2927963102569774,0.912187265490994,-1.6587045975258234,-1.6101994103024373,-0.5300006237762105,-0.29872546442140924,0.7935009297486931,-1.1512147716384122,-1.4667367393822626,-0.01112818920061233,-0.602602726678981,-0.12420264433741426,-0.004145923002255623,0.09650838869873408,-1.3408276921381974,-2.345353139282317
TCGA-A2-A0YC,0.011066969806646941,-0.47311582618395515,0.27574966680515556,0.331538256344918,0.16132597177867272,-0.3095344344322427,-0.9495429812737621,1.7797468203205649,1.7967799546665484,1.7653716530510901,-0.21889525935983228,-0.1596231546356941,-0.14119352970675084,1.4997375185911737,0.0441057356720405,-0.34289523876619243,-0.37380429766451295,-0.8211176689910926,-0.27224045860364854,1.8447804257450782,0.12637133679819426,0.5267948444083741,0.3763117101489568,0.6824101148010202,1.9396370678884627,-0.5899443163694127,-0.7415725527722973,0.24256196878782138,0.8919162278392788,-0.7981121775866066,-0.44165397503580495,-0.5885882790244267,-1.0170011114927617,1.8737809719680885,-0.7700419887218966,-0.33563345548885304,-0.01112818920061233,0.8343156682547862,1.4710188830708317,-0.004145923002255623,-1.7980148336247863,-0.2643551138119317,0.07507943757934904
